census_tract,Surge_threshold,alpha_d,alpha_a,alpha_p,alpha_r,mew_a,mew_p,U_rate
34003002100,2.912391017,24.99940395,0.001813312,3.901945801,0.001025625,0.087507663,0.00100947,0.010040615
34003016000,3.242899348,24.99312325,0.001641329,3.280244354,0.001224649,0.14286079,0.001000985,0.010419662
34003055100,1.857479029,24.99961259,24.99812955,4.999920951,0.002472827,0.068771235,0.059676594,0.010241611
34017010800,1.87530276,21.08780475,10.26572475,0.002144482,0.038195618,0.075698905,0.04678636,0.010652945
34017011400,2.112998429,24.99999379,16.38104442,0.13697029,0.012225688,0.082247725,0.025944689,0.010395235
34017011500,1.986553473,25,9.237407624,2.676591325,0.011889076,0.094540783,0.013787201,0.010018011
34023003401,2.103189005,16.00681883,0.001509729,3.251765281,0.114505836,0.042890563,0.014414955,0.018604357
34023003600,1.73689299,20.78958728,3.145336595,0.001422759,0.076799984,0.064374228,0.06433431,0.021612081
34023005000,2.333163029,24.99909466,0.449590354,1.115538022,0.042982934,0.100241174,0.033930417,0.01
34023007402,2.095342724,24.99986239,9.59039801,4.845079906,0.010365546,0.084970682,0.127693019,0.010067736
34023007500,1.332064661,24.99976549,24.08504675,0.001367437,0.001819928,0.113978402,0.299996186,0.010071649
34023007600,2.154786311,14.67687847,3.104262801,0.001197274,0.044856709,0.056472241,0.059479414,0.01
34023008001,2.098628049,17.90824091,0.001926122,0.002305055,0.065005329,0.05088708,0.03850553,0.021303858
34023009100,1.983377891,24.06220625,5.442658468,4.218695988,0.022922299,0.072631912,0.021850806,0.011907185
34025800100,1.127679915,4.192902431,11.9488646,4.654964934,0.269787987,0.129946051,0.001020056,1.133598962
34025800200,2.071945064,13.84348637,5.027697188,0.001254923,0.050213544,0.04396447,0.023803327,0.031399167
34025800400,2.058690102,10.06173767,2.47629186,2.481052966,0.154920437,0.028007735,0.098385948,2.710511573
34025800500,1.48191599,10.56887715,10.09093082,0.236136453,0.241430799,0.102868615,0.023223375,2.999872221
34025800601,2.08186079,24.04785772,7.689486574,4.780128499,0.374609457,0.001005042,0.06627346,2.460621738
34025801600,2.154196563,20.35900279,2.994191219,1.769580294,0.869272027,0.001040478,0.08362223,1.197808577
34025801700,1.227329269,2.780188589,18.86499922,3.22095569,0.964164553,0.139714623,0.001141271,0.848239556
34025801800,1.153170145,2.157341347,24.99765092,4.098568336,0.999992434,0.088714321,0.006745877,2.433477034
34025801900,1.976570448,17.80369304,3.476522976,0.004194037,0.07377097,0.044627443,0.028234269,0.31299434
34025802500,1.131734874,19.10084811,17.23110033,0.001285673,0.010010569,0.091825907,0.079438521,0.010915901
34025812100,1.242319281,2.028551019,10.07663995,1.727492965,0.999208665,0.064601317,0.003716654,1.988585432
34039030500,1.584951296,24.9990419,1.345990662,4.999947711,0.046633035,0.107462218,0.299998855,0.010177094
34039035400,2.002990323,15.9830071,2.860876323,3.983945993,0.128062839,0.044140564,0.058074281,0.076694802
36001000100,1.860032373,24.99925736,24.99945617,3.619880695,0.002727397,0.067200408,0.001081164,0.010072712
36001013100,1.76314534,6.862589255,0.001094182,0.001889887,0.005471865,0.016380005,0.003141514,0.435553003
36001013400,1.815027816,24.99631382,24.99931852,4.999874972,0.002344749,0.052296513,0.003707933,0.038483435
36001013602,1.960852019,24.99927757,24.99969357,4.999665144,0.003553197,0.083602791,0.048729376,0.01001098
36001014401,1.671105436,24.99918815,5.978195013,4.999980366,0.013583376,0.068117114,0.021396784,0.01014574
36021000500,1.755917511,24.99622932,0.584124314,0.215647424,0.018127419,0.080634971,0.039379463,0.010061696
36021000600,1.356982784,24.99456073,17.63196339,1.868332389,0.002553214,0.07599281,0.003531164,0.010244725
36021001100,2.89880818,24.99913334,24.99494859,3.624543825,0.001023122,0.118781917,0.001000788,0.01016854
36021001900,2.112278406,24.99942609,7.949136678,0.00362048,0.003741687,0.114313824,0.299878095,0.010353107
36021002000,2.324564417,24.99996388,0.002085237,3.037098504,0.001015178,0.064952233,0.001020343,0.010053467
36027060202,1.763206305,24.99297898,24.99853092,0.001475558,0.007541031,0.071770699,0.002613563,0.013217116
36027070201,2.879811417,24.99915123,0.001471887,0.20493744,0.001019876,0.067807009,0.001000502,0.01063063
36027140500,2.448797618,24.99780858,0.002523388,4.404297926,0.001004181,0.10057501,0.00101328,0.010082888
36027140602,2.412463979,24.99477901,24.9988874,0.466483063,0.001007103,0.087978248,0.001027094,0.010022063
36027140801,3.229526587,24.99903571,0.00180389,0.717894105,0.001035282,0.062909673,0.001003922,0.010057449
36027190301,1.825692372,24.99955697,17.66297365,4.999513713,0.005577321,0.100614354,0.004147655,0.010089336
36027210201,1.713007713,24.99775799,12.75923195,0.001294888,0.004676109,0.112056638,0.001005276,0.01004014
36039080100,2.395455619,24.99949612,24.9987537,2.715493902,0.001004452,0.079256202,0.00101684,0.010004536
36039080600,1.9938631,24.99949236,24.99963813,0.001022472,0.001002929,0.100770661,0.001000845,0.010257565
36039080700,1.731905371,24.99928055,1.746622774,0.895985949,0.013072362,0.071109715,0.005028334,0.010049014
36039080900,1.698947644,24.99958773,1.705589838,0.954410474,0.019542662,0.07923072,0.010629321,0.01012509
36047004400,3.064691199,24.99921256,24.99978576,1.824296168,0.00103047,0.0503724,0.001010497,0.048102779
36047004600,2.429837688,24.9998767,0.00184927,2.392038827,0.001011321,0.065077748,0.001007888,0.012628481
36047016800,2.644863222,24.9980167,24.99773296,3.492314941,0.001034367,0.057610595,0.001008853,0.02206878
36047033600,2.077803298,3.786522271,5.202635714,4.94108728,0.413070452,0.019771137,0.03405976,0.010002353
36071010102,1.687111667,24.99896124,7.247571685,0.001124995,0.006101049,0.101992186,0.001012617,0.0103739
36071010200,2.523791515,24.99721498,24.9991975,3.206913756,0.001138309,0.087528374,0.001031538,0.010004901
36071012700,2.475084752,24.99989604,0.001124004,2.461754676,0.001048094,0.062936924,0.001015771,0.010456346
36071012800,1.87052809,24.99810643,24.99690032,0.001085074,0.001,0.075970449,0.00101876,0.010444069
36071012900,1.527581581,24.99893657,24.99882987,0.00130393,0.001185923,0.089115574,0.001845998,0.010019746
36071013100,1.763089674,24.99928752,24.99710661,0.001120947,0.002704678,0.072896212,0.007330593,0.010504832
